perturbation_context,feature,n_rows,n_match,n_opposite,n_undefined,match_fraction,sigmoid_transition_rows_available,gate_status,allowed_claim,remaining_requirement
MFA_BA_stacked_on_control_legacy,rise_tau_s,204,91,79,0,0.44607843137254904,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_stacked_on_control_legacy,stim_end_depolarization_mV,204,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_BA_stacked_on_control_legacy,undershoot_magnitude_mV,204,50,43,0,0.24509803921568626,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_control_legacy,decay_slope_mV_per_s,748,182,283,0,0.24331550802139038,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_control_legacy,decay_tau_s,748,31,55,0,0.04144385026737968,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_control_legacy,peak_depolarization_mV,748,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_control_legacy,return_slope_mV_per_s,748,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_control_legacy,rise_slope_mV_per_s,748,224,199,0,0.2994652406417112,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_control_legacy,rise_tau_s,748,214,229,0,0.28609625668449196,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_control_legacy,stim_end_depolarization_mV,748,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_control_legacy,undershoot_magnitude_mV,748,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_mfa_legacy,decay_slope_mV_per_s,594,178,234,0,0.2996632996632997,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_mfa_legacy,decay_tau_s,594,91,97,0,0.1531986531986532,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_mfa_legacy,peak_depolarization_mV,594,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_mfa_legacy,return_slope_mV_per_s,594,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_mfa_legacy,rise_slope_mV_per_s,594,213,189,0,0.35858585858585856,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_mfa_legacy,rise_tau_s,594,195,199,0,0.3282828282828283,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_mfa_legacy,stim_end_depolarization_mV,594,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
MFA_like_from_mfa_legacy,undershoot_magnitude_mV,594,0,0,0,0.0,264,screen_not_consistent_or_inconclusive,mechanistic_screen_only_not_biological_proof,"requires broader category coverage, assumption robustness, parameter semantics, and external validation before biological degeneracy wording"
