claim,current_maturity,reviewer_targets,gap_id,gap_theme,current_evidence,why_not_sufficient,reviewer_pdf_basis,hypothesis_to_test,proposed_action,current_data_available,current_code_available,accessibility,estimated_effort,quick_win_priority,recommended_timing,quick_win_rationale,expected_artifact,support_gate,fallback_if_negative,dependencies,row_review_status
candidate mechanism regimes are biologically interpretable,candidate_regime_screen,"R1,R5,R6",MECH-01,Mechanism clusters may be continuous compensation rather than separated regimes,Step05 found 3 clusters from 2098 accepted candidates and 30 independent cells; Step03 warns sloppiness/non-identifiability is not degeneracy.,"Cluster labels alone do not prove separated mechanism modes. If interpolated points between clusters remain accepted, the correct wording is compensation manifold, not distinct degenerate regimes.",PCOMPBIOL-D-25-01995.pdf text lines 44-47 and 113-118: distinguish degeneracy from non-identifiability/sloppiness/parameter compensation.,Accepted candidates form either separated mechanism basins or continuous accepted manifolds connecting clusters.,Add Step05 geometry interpolation between representative candidates within each region-condition stratum and score interpolated points against Step02/Step04 acceptance contracts.,"yes: accepted ensemble, Step02 thresholds, Step04 scoring outputs, Step05 representatives",partial: simulator and scoring exist; interpolation/scoring wrapper must be added,requires_modest_code,medium,2,next_iteration_if_time,Uses current data and code; directly addresses the conceptual degeneracy objection.,outputs/mechanisms/intercluster_interpolation_acceptance.csv,Separated-mode claim only if interpolated paths fail acceptance or show clear loss barriers; otherwise label compensation manifold.,Use 'accepted compensation manifold' wording and avoid biological degeneracy language.,Step02 thresholds; Step04 accepted candidates; Step05 representatives,reviewed_individually
candidate mechanism regimes are biologically interpretable,candidate_regime_screen,R5,MECH-04,"Mechanism labels are model-derived hidden-current summaries, not directly measured pathways",Step05 hidden fluxes and phenotypes are reconstructed from accepted model simulations; no measured extracellular K+ or molecular pathway data are present.,The reviewer asked for molecular/biophysical interpretation. Model-internal hidden currents can support a mechanism screen but not direct pathway identity.,PDF lines 98-104 and 118-119: simplified model degeneracy may not mirror biological degeneracy; link scenarios to molecular biology and experimental setup.,Hidden flux phenotypes correspond to plausible Kir/gap-junction/local-storage scenarios with literature-consistent signs and timescales.,"Add a literature-anchored mechanism interpretation table mapping each model-derived phenotype to biological plausibility, required observables, and forbidden wording.",yes for model outputs; no for direct molecular validation,yes for synthesis table; no new simulation required,quick_win_documentation_guardrail,low_medium,2,next_iteration_if_time,Can strengthen reviewer response while explicitly not overclaiming direct biology.,outputs/reviewer_synthesis/mechanism_interpretation_guardrails.csv,Main text may say 'model-derived buffering scenario' only; 'pathway/phenotype' requires external validation or perturbation-specific support.,Use technical model terminology only.,Step05 phenotype tags; reviewer synthesis,reviewed_individually
candidate mechanism regimes are biologically interpretable,candidate_regime_screen,"R5,R7",MECH-06,Phenotype threshold definitions may be arbitrary or insufficiently calibrated,"Step05 measure_registry labels phenotype measures as primary/provisional, but no threshold sensitivity or calibration table is produced.","If labels depend strongly on arbitrary cutoffs, they are not robust biological descriptions.",PDF lines 61-64 and 102-104: variables need physical meaning/units and molecular interpretation.,Phenotype assignments are stable across reasonable dominance and recruitment thresholds.,Run a phenotype-threshold sensitivity grid and report label stability per candidate/cell/condition.,yes: windowed mechanism scores already computed,partial: classifier exists; expose thresholds as config and rerun labels without resimulation,requires_modest_code,medium,2,next_iteration_if_time,Avoids resimulating; improves confidence in phenotype vocabulary.,outputs/mechanisms/phenotype_threshold_sensitivity.csv,Only stable phenotype labels can be used in reviewer-facing mechanism descriptions.,Report continuous scores instead of discrete phenotype labels.,phenotype_classifier; accepted_fit_mechanisms_windowed,reviewed_individually
final biological degeneracy wording is allowed,not_allowed_yet,R1-R6,FINAL-01,No single integrated gate proves all required layers simultaneously,"Step09 final_biological_degeneracy_claim_allowed=False; maturity table has mechanism candidate_regime_screen, assumptions unresolved, parameter interpretability partial.","Final degeneracy requires mechanism distinction, predictive/perturbation support, assumption robustness, and parameter plausibility together, not separately partial evidence.","PDF lines 13-18, 35, and 113-122: main degeneracy/homeostasis claims are not adequately supported; need operational definition and validation strategy.",A subset of mechanism/phenotype/stratum claims passes all gates and can support restricted degeneracy wording.,"Create an integrated claim-gate matrix at mechanism x phenotype x region x condition level combining Step05, Step06, Step07, and Step08 statuses.",yes: all upstream CSVs exist,yes: Step09 synthesis can be extended,quick_win_current_outputs,low_medium,1,next_iteration_quick_win,May reveal restricted supported claims even if broad final claim stays blocked.,outputs/reviewer_synthesis/integrated_degeneracy_gate_matrix.csv,Final or restricted degeneracy claim only where every required row-level gate is supported.,Keep global final claim blocked and list exact blockers.,Step05-08 outputs; Step09 synthesis,reviewed_individually
final biological degeneracy wording is allowed,not_allowed_yet,"R1,R5",FINAL-02,Operational definition of degeneracy is still stricter than current evidence,Implementation spec states degeneracy is reserved for mechanistically distinct accepted regimes that pass predictive checks; current Step05 is candidate screen and Step06 support is mixed.,Multiple accepted parameter sets are not enough; current evidence has not proven distinct accepted regimes that are robust across all blockers.,PDF lines 113-118: multiple parameter sets with similar outputs must be separated from structural/practical non-identifiability and compensation.,"At least one region-condition has two or more mechanistically distinct, non-interpolating, validated regimes.","Formalize degeneracy levels in Step09: `non_identifiability`, `compensation_manifold`, `candidate_regime`, `restricted_validated_degeneracy`, `broad_validated_degeneracy` and assign each stratum objectively.",yes for current lower levels; interpolation needed for higher levels,partial: Step09 classification easy; higher-level evidence needs MECH-01,quick_win_for_classification_requires_modest_code_for_upgrade,low_for_labels_medium_for_evidence,1,next_iteration_quick_win,Improves reviewer clarity immediately and prevents overclaiming.,outputs/reviewer_synthesis/degeneracy_level_table.csv,Degeneracy level cannot exceed the weakest required evidence layer.,Use compensation/non-identifiability terminology only.,Step03-06 outputs; MECH-01 for separated-mode evidence,reviewed_individually
final biological degeneracy wording is allowed,not_allowed_yet,R6,FINAL-03,Predictive/perturbation support is not uniform across groups,Step06 has 5 predictive_supported and 5 prediction_limited groups; weak groups include M1 VH CONTROL and M3 VH MFA_BA.,A broad degeneracy claim cannot rest on partial validation unless the claim is explicitly restricted to supported groups.,PDF lines 118-122: robustness under perturbations beyond fitted conditions is missing/required.,A restricted degeneracy claim can be supported for predictive_supported groups only.,"Route Step06 validation labels into Step09 claim text, creating supported/restricted/blocked group-level claim categories.",yes,yes,quick_win_current_outputs,low,1,next_iteration_quick_win,No new simulations; materially improves claim precision.,outputs/reviewer_synthesis/restricted_validation_claims.csv,Only predictive_supported groups can be candidates for restricted final wording after other gates pass.,No group-level degeneracy wording; maintain mechanism-screen language.,Step06 robustness_summary; Step09 synthesis,reviewed_individually
final biological degeneracy wording is allowed,not_allowed_yet,"R3,R4",FINAL-04,Assumption and parameter gates independently block final claim,Step07 final_degeneracy_claim_allowed_after_step07=False for all assumption axes; Step08 final_degeneracy_claim_allowed_after_step08=False for all 30 candidates.,Even predictive-supported mechanisms cannot become final biological degeneracy while assumptions and parameters remain unresolved or partial.,"PDF lines 32-35, 74-89, 99-104, and 144-149: assumptions and parameter physiology must be justified.",Some restricted groups pass assumptions and parameter gates after reclassification or exclusion of failing candidates.,Join Step06 supported groups to Step07 proxy/gating status and Step08 candidate interpretability to find if any restricted group passes all gates.,yes,yes,quick_win_current_outputs,low_medium,1,next_iteration_quick_win,Immediately shows whether there is any near-supported restricted claim.,outputs/reviewer_synthesis/restricted_all_gate_join.csv,Restricted final claim requires predictive_supported + assumption gate pass + parameter gate pass for each contributing candidate/group.,Prioritize assumption and parameter fixes before more mechanism work.,Step06-08 outputs,reviewed_individually
final biological degeneracy wording is allowed,not_allowed_yet,"R5,R6",FINAL-05,"Functional homeostasis claim needs K_o/homeostasis-specific endpoint, not only Vm feature preservation","Step06 includes K_o recovery/peak/final hidden-output checks, but no final Step09 homeostasis-specific claim table separates Vm fit from K_o homeostasis.",Reviewer criticized extracellular K homeostasis claims; Vm-compatible fits alone cannot support K_o homeostasis.,PDF lines 126-135 and 142-149: extracellular K homeostasis claim is problematic given simplified ECS/bath coupling and omitted processes.,Predictive-supported groups also maintain K_o peak/recovery/final metrics under perturbations and assumptions.,"Add a homeostasis-specific endpoint audit using Step06 hidden K_o metrics, separate from Vm feature pass fractions.",yes: perturbation_sweeps has K_o metrics,yes: summary/groupby only,quick_win_current_outputs,low,1,next_iteration_quick_win,Directly targets reviewer wording with current hidden-output data.,outputs/predictive_validation/K_o_homeostasis_endpoint_audit.csv,"Homeostasis claim requires K_o peak/recovery/final robustness, not only Vm feature support.","Use Vm-predictive mechanism language, not K_o homeostasis language.",Step06 perturbation_sweeps,reviewed_individually
final biological degeneracy wording is allowed,not_allowed_yet,"R7,R1-R6",FINAL-06,Manuscript response needs claim-to-figure/table traceability at the restricted-claim level,"Step09 manifest lists 12 artifacts, but not each possible restricted claim, figure, support gate, and limitation together.",A complete reviewer response must prevent broad claims from being inferred from partial figures/tables.,PDF lines 105-112: figure/data presentation problems; lines 13-18: rigor and clarity of main claims insufficient.,"Each manuscript claim can be mapped to an exact output table, figure, gate, and limitation.","Create a claim-to-artifact evidence ledger with one row per intended manuscript sentence/claim, including allowed wording and forbidden wording.",yes: Step09 manifest and maturity table,yes: synthesis/output table only,quick_win_documentation_guardrail,low_medium,2,next_iteration_if_time,Improves R7 and prevents accidental overclaiming.,outputs/reviewer_synthesis/claim_to_artifact_ledger.csv,Every claim in the response must cite a source artifact and maturity status.,Remove or downgrade unsupported manuscript claims.,Step09 synthesis; manuscript draft,reviewed_individually
final biological degeneracy wording is allowed,not_allowed_yet,"R2,R5,R6",FINAL-07,External experimental validation/falsification strategy is still absent,"Current pipeline validates against Vm-derived ATF features and model-derived hidden outputs; no new external K_o, molecular, or pathway perturbation data are present.",The reviewer asks how degeneracy can be experimentally validated or falsified; current evidence is computational and Vm-only.,PDF lines 44-47 and 118-122: degeneracy should have an experimental validation/falsification strategy and phenotype/pathway evidence.,Specific model-derived phenotypes predict measurable K_o or pathway perturbation signatures in future experiments.,Add a prospective validation table listing predicted discriminating observables and experiments for each model-derived phenotype/regime.,partial: model predictions exist; external validation data absent,yes for table generation; new experiments not code-accessible,requires_new_data_for_full_support,high_for_support_low_for_plan,3,planned_follow_up,A validation plan helps reviewer response but cannot fully support the claim now.,outputs/reviewer_synthesis/prospective_validation_experiment_table.csv,Biological phenotype/pathway claim requires either current external data or explicitly prospective wording.,Frame as model-generated hypotheses for future validation.,Step05 phenotypes; Step06 perturbations; external experiment design,reviewed_individually
model assumptions do not drive the conclusion,model_dependent_or_unresolved,"R3,R4",ASSUMP-02,Intracellular K accumulation is a limited proxy for extracellular K,Step07 proxy_validity_by_ensemble has proxy_limited rows and explicit_ecs_variant_required=True for several candidates; claim_scope_table says explicit ECS variant or extra data is needed.,The reviewer explicitly challenges intracellular K as an extracellular K proxy; the current proxy is model-internal and often limited.,PDF lines 87 and 142-143: intracellular K proxy for extracellular K and membrane kinetics as buffering proxy are debatable across conditions/scales.,Conclusions persist when K_o/ECS dynamics are represented explicitly or when proxy-limited candidates are excluded.,"Add two analyses: proxy-exclusion sensitivity using current outputs, and an explicit ECS-state variant prototype for representative candidates.",yes for exclusion sensitivity; no measured K_o data,partial: exclusion summary easy; explicit ECS variant requires model work,mixed_quick_win_and_substantial_code,low_for_exclusion_high_for_variant,1,next_iteration_quick_win,Proxy-exclusion sensitivity can be computed immediately and clarifies whether proxy-limited rows drive claims.,outputs/assumption_sensitivity/proxy_exclusion_claim_sensitivity.csv; later explicit_ecs_variant_screen.csv,Assumption support improves if conclusions hold after excluding proxy-limited candidates; full support needs explicit ECS variant or external data.,State model conclusions require the intracellular-K proxy and cannot be generalized to ECS homeostasis.,Step07 proxy table; possible astro_model extension,reviewed_individually
model assumptions do not drive the conclusion,model_dependent_or_unresolved,R3,ASSUMP-06,No explicit support threshold defines when assumptions are robust enough,Step07 labels statuses but Step09 only sees any model-dependent/needed status as blocking; no graded assumption pass gate exists.,"Without a predeclared pass/fail criterion, claim upgrading could look subjective.",PDF lines 35 and 46-47: validation/falsification strategy must be operationally defined.,A transparent assumption gate can separate acceptable model dependence from claim-blocking dependence.,"Define and implement Step09 assumption gate thresholds: max unstable gating fraction, max proxy-limited fraction, all-current split persistence, and required fallback wording.",yes: Step07 tables,yes: Step09 synthesis can compute gate,quick_win_current_outputs,low,1,next_iteration_quick_win,"Improves objectivity immediately, even if it does not make the claim supported yet.",outputs/reviewer_synthesis/assumption_gate_audit.csv,Assumption claim supported only if all configured axes meet gate thresholds.,Report exact failing axis and keep final claim blocked.,Step07 outputs; Step09 synthesis,reviewed_individually
model assumptions do not drive the conclusion,model_dependent_or_unresolved,"R3,R6",ASSUMP-04,"Assumption checks are on one current/timegrid per candidate, not all validation contexts",Step07 outputs use current_na=100/sweep=3 per candidate; Step06 validates all six currents.,A conclusion may be robust at 100 nA but brittle at low/high current or condition-specific windows.,PDF lines 142-143: membrane kinetics proxy may not hold across activity conditions and spatial scales.,Gating/proxy/split robustness holds across all six canonical currents and condition-specific stimulation windows.,"Expand Step07 assumption sensitivity to all six currents for best-per-cell candidates, reusing Step06 current loop and thresholds.",yes: six-sweep accepted candidates and thresholds,partial: Step06 all-current loop exists; Step07 uses single current,requires_modest_code,medium,2,next_iteration_if_time,Directly broadens assumption evidence using existing model/data.,outputs/assumption_sensitivity/all_current_assumption_sensitivity.csv,Assumption claim can strengthen only if unstable rows remain below a predefined fraction across currents.,State assumption robustness is current-dependent.,Step07 + Step06 helper reuse,reviewed_individually
model assumptions do not drive the conclusion,model_dependent_or_unresolved,R3,ASSUMP-01,Gating-family conclusion is mixed/model-dependent,"Step07 model_comparison marks sigmoid, tanh, and double_sigmoid robust, but hard_threshold, soft_threshold, and hill as model_dependent_or_insufficient_evidence; claim_scope_table blocks final claim.",A conclusion that depends on the selected gating form cannot answer the reviewer criticism that sigmoidal gating is ad hoc.,PDF lines 32-35 and 74-81: sigmoidal spatial buffering is ad hoc/loosely justified.,The mechanism conclusions remain stable after refitting or rescoring accepted candidates under alternative gating families.,Upgrade Step07 from same-parameter gating resimulation to a small refit/rescore screen for representative candidates under each gating family.,yes: accepted candidates and thresholds,partial: same-parameter comparison exists; refit wrapper needed,requires_modest_to_substantial_code,medium_high,3,planned_follow_up,Scientifically strong but heavier than summary diagnostics.,outputs/assumption_sensitivity/gating_family_refit_screen.csv,Assumption gate passes only if mechanism labels and validation scores remain stable under accepted alternative gating forms.,State the result is sigmoid/tanh-family conditional.,Step04 fitting/scoring; Step07 config,reviewed_individually
model assumptions do not drive the conclusion,model_dependent_or_unresolved,R3,ASSUMP-03,Local/syncytial split is robust in current screen but still lacks spatial-scale grounding,"Step07 compartment_split_sensitivity marks split_robust, but the model remains a reduced local/syncytial lump without spatial gradients.",Robustness of one reduced split does not address the reviewer concern about physical grounding in spatial/temporal scales.,PDF lines 88-89 and 130-135: local/syncytial split and lack of spatial structure may produce artifacts.,A simple spatial surrogate or timescale-separation analysis gives the same qualitative local/spatial buffering modes.,Add a Step07 spatial-surrogate screen: either a two/three-compartment chain or a timescale/equilibrium analysis comparing reduced split assumptions.,current data sufficient for model comparison; no spatial measurements,no direct spatial variant; requires new model variant,requires_substantial_code,high,4,fallback_or_longer_term,Important for reviewer confidence but not a quick win.,outputs/assumption_sensitivity/spatial_surrogate_screen.csv,Reduced split support only if spatial surrogate preserves qualitative mechanism conclusions.,Frame current model as point/lumped model and avoid spatial-buffering biological claims.,new model variant; Step07 runner,reviewed_individually
model assumptions do not drive the conclusion,model_dependent_or_unresolved,"R3,R5",ASSUMP-05,Omitted homeostatic processes are not stress-tested,"Current model omits Na/K-ATPase, calcium-dependent pathways, pH regulation, volume changes, and explicit spatial gradients; no nuisance omitted-process screen exists.",The reviewer argues omitted mechanisms limit interpretability of homeostasis and robustness claims.,"PDF lines 144-149: omitted Na/K-ATPase, calcium, pH, volume, and spatial gradients limit claims; need lower-dimensional projection argument.","The accepted mechanism conclusions are stable to small literature-bounded omitted-process nuisance terms, or should be framed as lower-dimensional projections.",Add a minimal omitted-process sensitivity screen with bounded recovery/pump/leak nuisance terms and report whether mechanisms persist.,partial: no direct omitted-process measurements; can do simulation sensitivity,no: requires model extension and validation gates,requires_substantial_code_or_new_data,high,5,fallback_or_longer_term,Strong reviewer relevance but not accessible as a quick notebook fix.,outputs/assumption_sensitivity/omitted_process_sensitivity.csv,Final homeostasis claim requires robustness to omitted-process terms or explicit projection-only wording.,"Limit claim to minimal-model projection, not biological homeostatic mechanism.",new model terms; literature ranges,reviewed_individually
